tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Olivo,0.0,2022-12-05
Olivo,0.0,2022-12-06
Olivo,0.0,2022-12-07
Olivo,0.0,2022-12-08
Olivo,0.0,2022-12-09
Olivo,0.0,2022-12-10
Olivo,0.0,2022-12-11
Olivo,0.0,2022-12-12
Olivo,0.0,2022-12-13
Olivo,0.0,2022-12-14
Olivo,0.0,2022-12-15
Olivo,0.0,2022-12-16
Olivo,0.0,2022-12-17
Olivo,0.0,2022-12-18
Olivo,0.0,2022-12-19
Olivo,0.0,2022-12-20
Olivo,0.0,2022-12-21
Olivo,0.0,2022-12-22
Olivo,0.0,2022-12-23
Olivo,0.0,2022-12-24
Olivo,0.0,2022-12-25
Olivo,0.0,2022-12-26
Olivo,0.0,2022-12-27
Olivo,0.0,2022-12-28
Olivo,0.0,2022-12-29
Olivo,0.0,2022-12-30
Olivo,0.0,2022-12-31
Olivo,0.0,2023-01-01
Olivo,0.0,2023-01-02
Olivo,0.0,2023-01-03
Olivo,0.0,2023-01-04
Olivo,0.0,2023-01-05
Olivo,0.0,2023-01-06
Olivo,0.0,2023-01-07
Olivo,0.0,2023-01-08
Olivo,0.0,2023-01-09
Olivo,0.0,2023-01-10
Olivo,0.0,2023-01-11
Olivo,0.0,2023-01-12
Olivo,0.0,2023-01-13
Olivo,0.0,2023-01-14
Olivo,0.0,2023-01-15
Olivo,0.0,2023-01-16
Olivo,0.0,2023-01-17
Olivo,0.0,2023-01-18
Olivo,0.0,2023-01-19
Olivo,0.0,2023-01-20
Olivo,0.0,2023-01-21
Olivo,0.0,2023-01-22
Olivo,0.0,2023-01-23
Olivo,0.0,2023-01-24
Olivo,0.0,2023-01-25
Olivo,0.0,2023-01-26
Olivo,0.0,2023-01-27
Olivo,0.0,2023-01-28
Olivo,0.0,2023-01-29
Olivo,0.0,2023-01-30
Olivo,0.0,2023-01-31
Olivo,0.0,2023-02-01
Olivo,0.0,2023-02-02
Olivo,0.0,2023-02-03
Olivo,0.0,2023-02-04
Olivo,0.0,2023-02-05
Olivo,0.0,2023-02-06
Olivo,0.0,2023-02-07
Olivo,0.0,2023-02-08
Olivo,0.0,2023-02-09
Olivo,0.0,2023-02-10
Olivo,0.0,2023-02-11
Olivo,0.0,2023-02-12
Olivo,0.0,2023-02-13
Olivo,0.0,2023-02-14
Olivo,0.0,2023-02-15
Olivo,0.0,2023-02-16
Olivo,0.0,2023-02-17
Olivo,0.0,2023-02-18
Olivo,0.0,2023-02-19
Olivo,0.0,2023-02-20
Olivo,0.0,2023-02-21
Olivo,0.0,2023-02-22
Olivo,0.0,2023-02-23
Olivo,0.0,2023-02-24
Olivo,0.0,2023-02-25
Olivo,0.0,2023-02-26
Olivo,0.0,2023-02-27
Olivo,0.0,2023-02-28
Olivo,0.0,2023-03-01
Olivo,0.0,2023-03-02
Olivo,0.0,2023-03-03
Olivo,0.0,2023-03-04
Olivo,0.0,2023-03-05
Olivo,0.0,2023-03-06
Olivo,0.0,2023-03-07
Olivo,0.0,2023-03-08
Olivo,0.0,2023-03-09
Olivo,0.0,2023-03-10
Olivo,0.0,2023-03-11
Olivo,0.0,2023-03-12
Olivo,0.0,2023-03-13
Olivo,0.0,2023-03-14
Olivo,0.0,2023-03-15
Olivo,0.0,2023-03-16
Olivo,0.0,2023-03-17
Olivo,0.0,2023-03-18
Olivo,0.0,2023-03-19
Olivo,0.0,2023-03-20
Olivo,0.0,2023-03-21
Olivo,1.0,2023-03-22
Olivo,0.0,2023-03-23
Olivo,1.0,2023-03-24
Olivo,0.0,2023-03-25
Olivo,0.0,2023-03-26
Olivo,0.0,2023-03-27
Olivo,0.0,2023-03-28
Olivo,1.0,2023-03-29
Olivo,0.0,2023-03-30
Olivo,0.0,2023-03-31
Olivo,0.0,2023-04-01
Olivo,0.0,2023-04-02
Olivo,0.0,2023-04-03
Olivo,0.0,2023-04-04
Olivo,0.0,2023-04-05
Olivo,0.0,2023-04-06
Olivo,0.0,2023-04-07
Olivo,0.0,2023-04-08
Olivo,0.0,2023-04-09
Olivo,0.0,2023-04-10
Olivo,0.0,2023-04-11
Olivo,0.0,2023-04-12
Olivo,0.0,2023-04-13
Olivo,4.0,2023-04-14
Olivo,1.0,2023-04-15
Olivo,5.0,2023-04-16
Olivo,1.0,2023-04-17
Olivo,1.0,2023-04-18
Olivo,2.0,2023-04-19
Olivo,10.0,2023-04-20
Olivo,59.0,2023-04-21
Olivo,3.0,2023-04-22
Olivo,2.0,2023-04-23
Olivo,1.0,2023-04-24
Olivo,0.0,2023-04-25
Olivo,2.0,2023-04-26
Olivo,10.0,2023-04-27
Olivo,137.0,2023-04-28
Olivo,49.0,2023-04-29
Olivo,3.0,2023-04-30
Olivo,2.0,2023-05-01
Olivo,6.0,2023-05-02
Olivo,473.0,2023-05-03
Olivo,173.0,2023-05-04
Olivo,145.0,2023-05-05
Olivo,101.0,2023-05-06
Olivo,33.0,2023-05-07
Olivo,33.0,2023-05-08
Olivo,40.0,2023-05-09
Olivo,24.0,2023-05-10
