,Unnamed: 0,tipo_polinico,granos_de_polen_x_metro_cubico,fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),cloud_cover (%),Benceno (ug/m3),CO (mg/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Tolueno (ug/m3),precip_autumn_last_year,precip_winter_last_year,temp_mean_spring_summer_last,radiation_sum_spring_summer_last,co2_mean_april_may_last,o3_mean_april_may_last,no2_mean_april_may_last,drought_days_summer_last,growing_degree_days_last,polen_last_year
58,58,Gram?neas,2.0,2021-02-28,8.845833333333333,11.6375,22.475,67.625,95.45833333333331,0.0945833333333333,2.8000000000000003,0.0333333333333333,0.142125,0.4216666666666666,10.083333333333334,29.541666666666668,0.5,0.3,3.0,18.0,23.0,60.0,29.0,11.0,3.0,3.0,,,,,,,,,,
59,59,Gram?neas,1.0,2021-03-01,8.112499999999999,9.166666666666666,19.9875,79.95833333333333,65.45833333333333,0.04625,4.808333333333334,0.1333333333333333,0.1414583333333333,0.225,9.179166666666667,77.25,0.6,0.4,14.0,47.0,68.0,35.0,34.0,13.0,3.0,3.8,,,,,,,,,,
60,60,Gram?neas,1.0,2021-03-02,9.616666666666667,6.125,12.658333333333331,76.875,80.41666666666667,0.06625,5.445833333333333,0.0041666666666666,0.137375,0.3145833333333333,10.5125,65.20833333333333,0.5,0.3,9.0,40.0,53.0,46.0,42.0,12.0,3.0,2.6,,,,,,,,,,
61,61,Gram?neas,1.0,2021-03-03,10.275,5.091666666666667,10.920833333333334,76.08333333333333,102.33333333333331,0.0908333333333333,5.891666666666667,0.0,0.1245833333333333,0.35375,11.720833333333331,39.5,0.7,0.4,20.0,49.0,79.0,30.0,82.0,21.0,3.0,3.8,,,,,,,,,,
62,62,Gram?neas,0.0,2021-03-04,9.5625,5.6000000000000005,12.308333333333332,79.70833333333333,90.66666666666669,0.08375,5.791666666666667,0.0,0.1183333333333333,0.3008333333333333,11.195833333333333,35.833333333333336,0.7,0.4,24.0,54.0,91.0,14.0,78.0,24.0,3.0,4.0,,,,,,,,,,
63,63,Gram?neas,0.0,2021-03-05,10.104166666666666,6.854166666666667,14.041666666666666,71.66666666666667,67.75,0.0795833333333333,4.891666666666667,0.0208333333333333,0.1105,0.38875,11.45,82.5,0.7,0.3,10.0,40.0,55.0,35.0,59.0,21.0,3.0,2.9,,,,,,,,,,
64,64,Gram?neas,1.0,2021-03-06,10.9,7.845833333333334,16.125,64.29166666666667,83.54166666666667,0.0929166666666666,3.9125,0.0,0.0978333333333333,0.5120833333333333,12.295833333333334,63.375,0.6,0.3,4.0,25.0,31.0,51.0,38.0,15.0,3.0,1.9,,,,,,,,,,
65,65,Gram?neas,0.0,2021-03-07,9.625,6.154166666666666,13.3125,75.04166666666667,124.75,0.0808333333333333,5.083333333333333,0.0125,0.0918333333333333,0.3320833333333333,11.9375,74.75,0.5,0.3,3.0,22.0,28.0,53.0,22.0,10.0,3.0,1.2,,,,,,,,,,
66,66,Gram?neas,0.0,2021-03-08,7.645833333333333,8.666666666666666,18.2375,82.625,76.75,0.0741666666666666,4.770833333333333,0.1875,0.141375,0.1954166666666666,10.3125,51.958333333333336,0.7,0.4,18.0,45.0,74.0,22.0,20.0,9.0,3.0,2.2,,,,,,,,,,
67,67,Gram?neas,2.0,2021-03-09,8.154166666666667,11.275,22.504166666666663,59.29166666666666,109.83333333333331,0.1033333333333333,0.3458333333333334,0.0041666666666666,0.12475,0.4741666666666667,10.579166666666667,46.083333333333336,0.6,0.3,8.0,32.0,44.0,39.0,14.0,7.0,3.0,2.0,,,,,,,,,,
68,68,Gram?neas,7.0,2021-03-10,7.508333333333333,6.95,14.908333333333331,61.75,150.83333333333334,0.1191666666666666,-0.1416666666666667,0.0,0.1084583333333333,0.4920833333333334,10.075,28.291666666666668,0.8,0.4,18.0,48.0,75.0,32.0,18.0,10.0,3.0,2.6,,,,,,,,,,
69,69,Gram?neas,7.0,2021-03-11,11.2125,11.733333333333334,22.079166666666666,70.95833333333333,247.20833333333331,0.125,5.7125,0.0,0.08825,0.4633333333333334,12.395833333333334,67.125,0.7,0.4,21.0,41.0,74.0,23.0,19.0,9.0,3.0,3.1,,,,,,,,,,
70,70,Gram?neas,4.0,2021-03-12,10.329166666666667,11.629166666666668,22.52916666666667,63.54166666666666,289.75,0.1095833333333333,2.5375,0.0,0.0736666666666666,0.51625,12.291666666666666,31.416666666666668,0.6,0.4,12.0,35.0,54.0,26.0,13.0,6.0,3.0,2.3,,,,,,,,,,
71,71,Gram?neas,3.0,2021-03-13,8.725,8.808333333333334,18.20833333333333,52.583333333333336,223.16666666666663,0.1404166666666666,-1.4958333333333331,0.0,0.0598333333333333,0.6345833333333334,11.345833333333331,13.125,0.7,0.3,8.0,39.0,52.0,33.0,14.0,6.0,3.0,2.2,,,,,,,,,,
72,72,Gram?neas,1.0,2021-03-14,9.420833333333333,8.625,18.05,59.25,144.25,0.1270833333333333,1.2333333333333334,0.0,0.0489583333333333,0.5575,12.116666666666667,15.916666666666666,0.6,0.3,4.0,27.0,33.0,,11.0,5.0,3.0,1.5,,,,,,,,,,
73,73,Gram?neas,4.0,2021-03-15,10.354166666666666,11.666666666666666,23.65833333333333,55.333333333333336,37.04166666666666,0.1504166666666666,0.6375000000000001,0.0,0.0484999999999999,0.6870833333333334,12.95,0.2916666666666667,0.5,0.3,6.0,33.0,42.0,,12.0,5.0,3.0,2.0,,,,,,,,,,
74,74,Gram?neas,0.0,2021-03-16,11.729166666666666,19.5375,35.47083333333333,47.833333333333336,48.875,0.1825,0.3416666666666667,0.0,0.0334583333333333,0.8045833333333333,14.0625,2.125,0.4,0.3,6.0,28.0,37.0,60.0,13.0,4.0,3.0,2.6,,,,,,,,,,
75,75,Gram?neas,4.0,2021-03-17,12.125,20.8625,38.22083333333333,46.0,45.66666666666666,0.1916666666666666,-0.0833333333333333,0.0,0.0270416666666666,0.8583333333333334,14.329166666666666,2.25,0.4,0.3,6.0,26.0,35.0,57.0,9.0,2.0,3.0,2.3,,,,,,,,,,
76,76,Gram?neas,7.0,2021-03-18,8.616666666666667,19.9375,36.73333333333333,42.083333333333336,33.916666666666664,0.1466666666666666,-4.0875,0.0,0.02225,0.6808333333333333,11.6125,30.0,0.5,0.3,6.0,30.0,39.0,61.0,10.0,4.0,3.0,2.1,,,,,,,,,,
